,source,target,year,weight
26953,evergrande securities (hong kong) limited,redwood asset management limited,2019,1
26954,phillip securities (hong kong) limited,oneplatform asset management limited,2007,1
26955,haitong international capital limited,optima capital limited,2010,1
26956,optima capital limited,southwest securities (hk) capital limited,2016,1
26957,fulbright futures limited,celestial commodities limited,2012,1
26958,celestial commodities limited,bright smart securities international (h.k.) limited,2011,1
26959,hang seng futures limited,haitong international securities company limited,2004,1
26960,fil investment management (hong kong) limited,first sentier investors (hong kong) limited,2010,1
26961,"china galaxy international securities (hong kong) co., limited",cmb international securities limited,2016,1
26962,cmb international securities limited,south china research limited,2010,1
26963,south china research limited,yuanta securities (hong kong) company limited,2014,1
26964,dongxing securities (hong kong) asset management company limited,jefferies hong kong limited,2018,1
26965,oneplatform asset management limited,manulife investment management (hong kong) limited,2018,1
26966,merrill lynch (asia pacific) limited,citigroup global markets hong kong futures and securities limited,2009,1
26967,mayfair & ayers financial group limited,dt securities & futures co. limited,2020,1
26968,s&p global ratings hong kong limited,primas asset management limited,2019,1
26969,merrill lynch far east limited,j.p. morgan securities (far east) limited,2012,1
26970,evergrande securities (hong kong) limited,kgi asia limited,2021,1
26971,kgi asia limited,evergrande futures (hong kong) limited,2004,1
26972,mib securities (hong kong) limited,dws investments hong kong limited,2018,1
26973,fil investment management (hong kong) limited,jpmorgan funds (asia) limited,2016,1
26974,jpmorgan funds (asia) limited,nomura international (hong kong) limited,2018,1
26975,fulbright futures limited,lamtex securities limited,2010,1
26976,lamtex securities limited,china industrial securities international futures limited,2015,1
26977,guotai junan capital limited,abci capital limited,2020,1
26978,first shanghai capital limited,changjiang corporate finance (hk) limited,2015,1
26979,changjiang corporate finance (hk) limited,china securities (international) corporate finance company limited,2017,1
26980,guotai junan capital limited,frontpage capital limited,2016,1
26981,frontpage capital limited,asian capital limited,2021,1
26982,asian capital limited,"caitong international capital co., limited",2018,1
26983,"caitong international capital co., limited",kingston corporate finance limited,2011,1
26984,everbright securities investment services (hk) limited,cinda international securities limited,2012,1
26985,gladstone morgan portfolio services limited,mayfair & ayers financial group limited,2010,1
26986,mayfair & ayers financial group limited,manulife investment management (hong kong) limited,2004,1
26987,boci securities limited,haitong international securities company limited,2009,1
26988,haitong international securities company limited,mayfair & ayers financial group limited,2018,1
26989,daiwa capital markets hong kong limited,kgi asia limited,2012,1
26990,kgi asia limited,sg securities (hk) limited,2008,1
26991,asg futures limited,orient securities limited,2009,1
26992,orient securities limited,piper jaffray asia futures limited,2005,1
26993,piper jaffray asia futures limited,mib securities (hong kong) limited,2022,1
26994,prudential brokerage limited,yuanta securities (hong kong) company limited,2013,1
26995,yuanta securities (hong kong) company limited,emperio securities and assets management limited,2020,1
26996,emperio securities and assets management limited,arta global markets limited,2021,1
26997,youyu credit limited,public financial securities limited,2005,1
26998,bct financial limited,principal global investors (asia) limited,2012,1
26999,beevest securities limited,kgi securities (hong kong) limited,2006,1
27000,kgi securities (hong kong) limited,beevest securities limited,2007,1
27001,beevest securities limited,kgi futures (hong kong) limited,2005,1
27002,china international futures (hong kong) company limited,phillip commodities (h.k.) limited,2010,1
27003,boci-prudential asset management limited,manulife investment management (hong kong) limited,2012,1
27004,henyep securities limited,peak cloud limited,2019,1
27005,peak cloud limited,henyep securities limited,nan,1
27006,henyep securities limited,peak cloud limited,2021,1
27007,core pacific-yamaichi futures (h.k.) limited,phillip securities (hong kong) limited,2007,1
27008,shanxi securities international limited,bright smart securities international (h.k.) limited,2021,1
27009,mf global securities hk limited,bgc securities (hong kong) llc,2008,1
27010,bgc securities (hong kong) llc,de riva asia limited,2013,1
27011,jpmorgan asset management (asia pacific) limited,blackrock asset management north asia limited,2020,1
27012,"china cifco securities co., limited",gong ping futures limited,2015,1
27013,gong ping futures limited,rifa securities limited,2018,1
27014,phillip securities (hong kong) limited,win wong securities limited,2008,1
27015,fulbright futures limited,okachi (hong kong) company limited,2003,1
27016,alpha wealth management limited (hk),wegeneral asset management limited,2019,1
27017,gear asset management limited,prime way asset management limited,2018,1
27018,prime cdex securities limited,southwest securities (hk) brokerage limited,2009,1
27019,glory sun securities limited,sun international investment services limited,2017,1
27020,sun international investment services limited,everbright securities investment services (hk) limited,2014,1
27021,optima capital limited,guotai junan capital limited,2021,1
27022,aberdeen international investment management limited,credit suisse (hong kong) limited,2010,1
27023,amundi hong kong limited,state street global advisors asia limited,2011,1
27024,target capital management limited (hk),oneplatform asset management limited,2004,1
27025,ces commodities (hk) limited,target capital management limited (hk),2011,1
27026,ubp asset management asia limited,jpmorgan funds (asia) limited,2009,1
27027,ping an of china asset management (hong kong) company limited,hsbc investment funds (hong kong) limited,2012,1
27028,ft securities limited,goldman sachs (asia) l.l.c.,2005,1
27029,credit suisse (hong kong) limited,citigroup global markets hong kong futures and securities limited,2004,1
27030,conning asia pacific limited,wells fargo securities asia limited,2014,1
27031,bocom international securities limited,china industrial securities international brokerage limited,2014,1
27032,china industrial securities international brokerage limited,kingkey securities group limited,2021,1
27033,cgs-cimb securities (hong kong) limited,ubs securities asia limited,2018,1
27034,tung shing securities (brokers) limited,cvp securities limited,2010,1
27035,cvp securities limited,yuanta asia investment (hong kong) limited,2007,1
27036,yuanta asia investment (hong kong) limited,stockwell securities limited,2013,1
27037,"caitong international securities co., limited",guoyuan securities brokerage (hong kong) limited,2015,1
27038,guoyuan futures (hong kong) limited,tc concord securities limited,2009,1
27039,credit suisse futures (hong kong) limited,goldman sachs (asia) l.l.c.,2003,1
27040,luk fook securities (hk) limited,oneplatform asset management limited,2008,1
27041,funderstone securities limited,core pacific-yamaichi securities (h.k.) limited,2007,1
27042,core pacific-yamaichi securities (h.k.) limited,first shanghai futures limited,2017,1
27043,emperor international exchange (hong kong) company limited,hong kong forex investment limited,nan,1
27044,astrum capital management limited (hk),changjiang asset management (hk) limited,2012,1
27045,changjiang asset management (hk) limited,blossomhill investment limited,2011,1
27046,blossomhill investment limited,shenwan hongyuan asset management (asia) limited,2010,1
27047,shenwan hongyuan asset management (asia) limited,astrum capital management limited (hk),2015,1
27048,soochow securities international brokerage limited,citigroup global markets asia limited,2017,1
27049,celestial commodities limited,zhongtai international futures limited,2016,1
27050,zhongtai international futures limited,celestial securities limited,2007,1
27051,celestial securities limited,fulbright futures limited,2012,1
27052,evercore asia limited,torq capital management (hk) limited,2020,1
27053,torq capital management (hk) limited,asia research & capital management limited,2017,1
27054,1. aglobal international limited,wintone securities limited,2004,1
27055,mason futures limited (hk),phillip commodities (h.k.) limited,2007,1
27056,sino-rich securities & futures limited,cepa alliance securities limited,2006,1
27057,cepa alliance securities limited,ping an securities limited,2005,1
27058,ping an securities limited,sino-rich securities & futures limited,2008,1
27059,risen family office limited,hongkong yifu international futures limited,2018,1
27060,hsbc broking futures (hong kong) limited,huajin futures (international) limited,2017,1
27061,kaisa financial group company limited,haitong international securities company limited,2011,1
27062,pine peak corporate finance limited,china pa securities (hong kong) company limited,2021,1
27063,china pa securities (hong kong) company limited,piper jaffray asia limited,2010,1
27064,piper jaffray asia limited,pine peak corporate finance limited,2020,1
27065,pine peak corporate finance limited,"china galaxy international securities (hong kong) co., limited",2012,1
27066,macquarie funds management hong kong limited,invesco asset management asia limited,2016,1
27067,everbright securities investment services (hk) limited,kgi futures (hong kong) limited,2013,1
27068,kgi futures (hong kong) limited,mib futures (hong kong) limited,2011,1
27069,shun loong futures limited,kgi asia limited,2017,1
27070,interactive brokers hong kong limited,okachi investments (hk) company limited,2013,1
27071,bochk asset management limited,boci research limited,2010,1
27072,boci research limited,cinda international investment consultant limited,2009,1
27073,wing fung forex limited,prime cdex asset management limited,2019,1
27074,magic compass securities limited,phillip securities (hong kong) limited,2008,1
27075,china international capital corporation hong kong securities limited,morgan stanley asia limited,2021,1
27076,kgi asia limited,citic securities brokerage (hk) limited,2004,1
27077,midland wealth management limited,geo securities limited,2014,1
27078,core pacific - yamaichi international (h.k.) limited,midland wealth management limited,2010,1
27079,midland wealth management limited,core pacific - yamaichi international (h.k.) limited,2016,1
27080,bmi funds management limited,bay area capital partners limited,2021,1
27081,macquarie capital limited,alliancebernstein hong kong limited,2017,1
27082,abci securities company limited,csc securities (hk) limited,2006,1
27083,csc securities (hk) limited,enlighten securities limited,2005,1
27084,rhb securities hong kong limited,south china asset management limited,2012,1
27085,south china asset management limited,huarong international securities limited,2010,1
27086,huarong international securities limited,south china investment management limited,2016,1
27087,south china investment management limited,rhb securities hong kong limited,2007,1
27088,celestial securities limited,shenwan hongyuan futures (h.k.) limited,2021,1
27089,shenwan hongyuan futures (h.k.) limited,china securities (international) brokerage company limited,2020,1
27090,everbright securities investment services (hk) limited,oriental wealth futures limited,2010,1
27091,one china securities limited,oriental wealth futures limited,2011,1
27092,oriental wealth futures limited,cni global assets management limited (hk),2018,1
27093,fwd financial planning limited (hk),oneplatform asset management limited,2010,1
27094,jinrui futures (hong kong) limited,zhicheng international financial company limited,2020,1
27095,challenge capital management limited,pine peak corporate finance limited,2018,1
27096,core pacific-yamaichi securities (h.k.) limited,tokai tokyo securities (asia) limited,2004,1
27097,axa investment managers chorus limited,millennium capital management (hong kong) limited,2021,1
27098,oneplatform asset management limited,principal investment & retirement services limited,2015,1
27099,cinda international investment consultant limited,phillip commodities (h.k.) limited,2009,1
27100,south china securities limited,kgi asia limited,2016,1
27101,kgi asia limited,phillip securities (hong kong) limited,2007,1
27102,hang seng investment management limited,invesco asset management asia limited,2007,1
27103,cithara investment international limited,kgi asia limited,2017,1
27104,i-access investors limited,south china securities limited,2010,1
27105,tengard fund management limited,karl thomson investment consultants limited,nan,1
27106,asa securities limited,dbs vickers (hong kong) limited,2008,1
27107,south china commodities limited,evergrande securities (hong kong) limited,2009,1
27108,rhb securities hong kong limited,zhifu international asset management (hk) limited,2021,1
27109,zhifu international asset management (hk) limited,asa securities limited,2012,1
27110,honestum international limited,alliance capital partners limited (hk),2018,1
27111,first shanghai securities limited,chief securities limited,2014,1
27112,haitong international futures limited,citic securities brokerage (hk) limited,2021,1
27113,cis securities asset management limited,oneplatform asset management limited,2010,1
27114,kgi asia limited,patrons securities limited,2022,1
27115,great bay securities limited,get nice securities limited,2005,1
27116,gcint (hk) limited,fortune asset management limited,2016,1
27117,fortune asset management limited,hongkong bay securities limited,2019,1
27118,phillip securities (hong kong) limited,abundancia global asset management (hong kong) limited,2013,1
27119,everbright securities investment services (hk) limited,yuanta asia investment (hong kong) limited,2010,1
27120,"exoduspoint capital management hong kong, limited",franklin templeton investments (asia) limited,2018,1
27121,franklin templeton investments (asia) limited,goldman sachs (asia) l.l.c.,2016,1
27122,amtd global markets limited,geo securities limited,2014,1
27123,geo securities limited,kirin securities limited,2017,1
