,source,target,year,weight
2826,emperor futures limited,haitong international securities company limited,2018,1
2827,haitong international securities company limited,fulbright futures limited,2019,1
2828,jupiter asset management (asia pacific) limited,fubon fund management (hong kong) limited,2008,1
2829,fubon fund management (hong kong) limited,axa china region investment services limited,2006,1
2830,oriental patron asia limited,kingston corporate finance limited,2009,1
2831,kingston corporate finance limited,central china international capital limited,2007,1
2832,hafoo securities limited,nerico brothers limited (hk),2012,1
2833,yunfeng financial markets limited,kingston corporate finance limited,nan,1
2834,kingston corporate finance limited,nuada limited,2004,1
2835,riche bright securities limited,tongjin securities limited,2020,1
2836,tongjin securities limited,galaxy treasure securities group limited,2019,1
2837,galaxy treasure securities group limited,money concepts (hong kong) limited,2022,1
2838,money concepts (hong kong) limited,riche bright securities limited,2017,1
2839,kingkey securities group limited,power securities company limited,2018,1
2840,power securities company limited,rhb futures hong kong limited,2014,1
2841,lehman brothers asia limited,merrill lynch (asia pacific) limited,2005,1
2842,china vered asset management (hong kong) limited,fu heng investment management limited,2007,1
2843,emperor international exchange (hong kong) company limited,hong kong forex investment limited,2004,1
2844,hong kong forex investment limited,redford asset management limited,2009,1
2845,redford asset management limited,capital focus asset management limited,2008,1
2846,ces forex (hk) limited,everbright securities investment services (hk) limited,2007,1
2847,pgim (hong kong) limited,jpmorgan funds (asia) limited,2016,1
2848,bear stearns asia limited,mirae asset global investments (hong kong) limited,2006,1
2849,tokai tokyo securities (asia) limited,okasan international (asia) limited,2009,1
2850,okasan international (asia) limited,daiwa capital markets hong kong limited,2010,1
2851,oriental patron securities limited,south china capital limited,2013,1
2852,south china capital limited,jvsakk asset management limited,2008,1
2853,jvsakk asset management limited,china international capital corporation hong kong securities limited,2009,1
2854,kingston futures limited,bocom international securities limited,2007,1
2855,bocom international securities limited,abci securities company limited,2017,1
2856,maps capital management limited,nnip hong kong limited,2004,1
2857,neuberger berman asia limited,mirae asset global investments (hong kong) limited,2006,1
2858,phillip securities (hong kong) limited,uob kay hian (hong kong) limited,2017,1
2859,huatai financial holdings (hong kong) limited,phillip commodities (h.k.) limited,2011,1
2860,phillip commodities (h.k.) limited,trading central asia limited,2013,1
2861,trading central asia limited,hsbc broking forex (asia) limited,2008,1
2862,optima capital limited,halcyon securities limited,2013,1
2863,halcyon securities limited,haitong international capital limited,nan,1
2864,yu on securities company limited,cinda international securities limited,2013,1
2865,sbi china capital commodities limited,ewarton securities limited,2010,1
2866,china industrial securities international futures limited,sbi china capital financial services limited,2014,1
2867,samsung securities (asia) limited,clsa research limited,2009,1
2868,bnp paribas dealing services asia limited,credit agricole securities (asia) limited,nan,1
2869,fulbright securities limited,sanfull securities limited,nan,1
2870,south china securities limited,frontier capital management limited (hk),2020,1
2871,frontier capital management limited (hk),everbright securities investment services (hk) limited,2015,1
2872,ip investment management (hk) limited,yue xiu asset management limited,2016,1
2873,conning asia pacific limited,alliance asset management limited (hk),2018,1
2874,alliance asset management limited (hk),des asset management limited,2017,1
2875,dignari capital partners (hk) limited,asia debt management hong kong limited,2007,1
2876,rhb securities hong kong limited,centaline wealth management limited,2004,1
2877,prime china securities limited,shenwan hongyuan securities (h.k.) limited,2004,1
2878,shenwan hongyuan securities (h.k.) limited,"china merchants futures (hk) co., limited",2003,1
2879,evergrande securities (hong kong) limited,china everbright forex & futures (hk) limited,2007,1
2880,goldman sachs (asia) l.l.c.,barclays capital asia limited,2011,1
2881,picc asset management (hong kong) company limited,taiping assets management (hk) company limited,2014,1
2882,core pacific - yamaichi international (h.k.) limited,kgi asia limited,2007,1
2883,kgi asia limited,rhb securities hong kong limited,2013,1
2884,rhb securities hong kong limited,phillip securities (hong kong) limited,2003,1
2885,celestial securities limited,"china galaxy international futures (hong kong) co., limited",2016,1
2886,global investment advisors limited,dbs vickers (hong kong) limited,2006,1
2887,cni securities group limited,dongxing securities (hong kong) company limited,2021,1
2888,amtd global markets limited,oneplatform asset management limited,2011,1
2889,clsa asset management limited,auspicious capital management limited,2016,1
2890,auspicious capital management limited,atlantis investment management limited (hk),2018,1
2891,kgi asia limited,prime cdex futures limited,2004,1
2892,oaktree capital (hong kong) limited,mount kellett capital (hong kong) limited,2012,1
2893,goldman sachs (asia) l.l.c.,mount kellett capital (hong kong) limited,2009,1
2894,bali securities co. limited,korea investment & securities asia limited,2021,1
2895,korea investment & securities asia limited,east eagle asset management holdings limited,2019,1
2896,east eagle asset management holdings limited,all options hong kong limited,2009,1
2897,hk noble sky treasure securities limited,forwin securities group limited,2017,1
2898,forwin securities group limited,realink financial trade limited,2005,1
2899,j.p. morgan securities (far east) limited,standard chartered securities (hong kong) limited,2006,1
2900,haitong international futures limited,evergrande securities (hong kong) limited,2011,1
2901,evergrande securities (hong kong) limited,fenghua asset management limited,2019,1
2902,sinostar asset management limited,oci asset management company limited,2018,1
2903,oci asset management company limited,rencent international asset management company limited,2013,1
2904,yuanta asia investment (hong kong) limited,tung shing securities (brokers) limited,2004,1
2905,tung shing securities (brokers) limited,yuanta securities (hong kong) company limited,2012,1
2906,central china international futures company limited,china industrial securities international brokerage limited,2014,1
2907,everbright securities investment services (hk) limited,ces forex (hk) limited,2006,1
2908,ces forex (hk) limited,kgi asia limited,2017,1
2909,morgan stanley asia limited,goldman sachs (asia) l.l.c.,2005,1
2910,goldman sachs (asia) l.l.c.,j.p. morgan securities (far east) limited,2020,1
2911,investport (h.k.) limited,yf securities company limited,2016,1
2912,yf securities company limited,techno horizon limited,2022,1
2913,techno horizon limited,wing fung securities limited,2018,1
2914,j.p. morgan broking (hong kong) limited,octuple (hong kong) limited,2012,1
2915,octuple (hong kong) limited,j.p. morgan broking (hong kong) limited,2014,1
2916,future growth financial services limited,success securities limited,2013,1
2917,ubs securities hong kong limited,credit suisse (hong kong) limited,2019,1
2918,absolute investment management (hk) limited,manulife investment management (hong kong) limited,2017,1
2919,"hgnh international forex co., limited",fulbright securities limited,2015,1
2920,"hgnh international securities co., limited",icbc international futures limited,2018,1
2921,abci securities company limited,christfund securities limited,nan,1
2922,allianz global investors hong kong limited,zeal asset management limited,2013,1
2923,zeal asset management limited,allianz global investors asia pacific limited (sfc:aoa171),2007,1
2924,zeal asset management limited,allianz global investors asia pacific limited (sfc:aoa171),2010,1
2925,"innovation asset management co., limited",daiwa capital markets trading hong kong limited,2008,1
2926,instinet pacific limited,nomura international (hong kong) limited,2009,1
2927,nomura international (hong kong) limited,hsbc securities brokers (asia) limited,2014,1
2928,merrill lynch far east limited,hsbc securities brokers (asia) limited,2011,1
2929,goldman sachs (asia) l.l.c.,ares ssg capital management (hong kong) limited,2016,1
2930,china tonghai securities limited,ssc mandarin financial services limited,nan,1
2931,kgi wealth management limited (d2017-10-03),grand cathay securities (hong kong) limited,2012,1
2932,pegasus fund managers limited,lion global financial limited,2011,1
2933,emperor wealth management limited,jz asset management company limited,2019,1
2934,jz asset management company limited,success securities limited,2010,1
2935,success securities limited,swenson asset management limited,2020,1
2936,swenson asset management limited,amtd global markets limited,2008,1
2937,oneplatform asset management limited,mackenzie investments asia limited,2022,1
2938,piper jaffray asia limited,south west capital limited (d2013-12-11),2012,1
2939,cvp capital limited (hk),eddid capital limited,2020,1
2940,boci securities limited,china everbright securities (hk) limited,2011,1
2941,china everbright securities (hk) limited,gmo-z.com forex hk limited,2012,1
2942,smbc nikko securities (hong kong) limited,clsa limited,2020,1
2943,mtf securities limited,rifa securities limited,2014,1
2944,rifa securities limited,wing sang securities company limited,nan,1
2945,china tonghai securities limited,daiwa capital markets hong kong limited,2010,1
2946,aspenwood capital limited,rhb securities hong kong limited,2014,1
2947,core capital securities limited,emperor futures limited,2008,1
2948,emperor futures limited,awsg international securities limited,2019,1
2949,awsg international securities limited,emperor wealth management limited,2009,1
2950,vc brokerage limited,sinopac securities (asia) limited,2019,1
2951,everbright securities investment services (hk) limited,cis securities asset management limited,2016,1
2952,pelican financial limited,advent corporate finance limited (gben),2021,1
2953,gt capital limited,shenwan hongyuan futures (h.k.) limited,2009,1
2954,"caitong international securities co., limited",kgi futures (hong kong) limited,2012,1
2955,zhongtai international securities limited,kgi asia limited,2010,1
2956,kgi asia limited,beevest securities limited,2008,1
2957,china hong kong capital asset management company limited,amtd global markets limited,2010,1
2958,amtd global markets limited,venture smart asia limited,2021,1
2959,royston securities limited (gben),power securities company limited,2016,1
2960,kbc financial products hong kong limited,daiwa capital markets hong kong limited,2010,1
2961,phillip securities (hong kong) limited,abci securities company limited,2009,1
2962,yue xiu futures company limited,gcint (hk) limited,2019,1
2963,parchment investment limited,guotai junan securities (hong kong) limited,2012,1
2964,guotai junan fx limited,gcint asset management limited,2020,1
2965,gcint asset management limited,phillip commodities (h.k.) limited,2008,1
2966,aif securities limited,china glory securities company limited,2021,1
2967,ping an of china asset management (hong kong) company limited,pedder street investment management limited,2016,1
2968,pedder street investment management limited,ping an of china asset management (hong kong) company limited,2014,1
2969,ping an of china asset management (hong kong) company limited,nnip hong kong limited,2006,1
2970,phillip securities (hong kong) limited,yu on securities company limited,2003,1
2971,yu on securities company limited,phillip securities (hong kong) limited,2007,1
2972,phillip securities (hong kong) limited,boci securities limited,2011,1
2973,aevitas securities limited,get nice securities limited,2018,1
2974,noah holdings (hong kong) limited,creditease wealth management (hk) limited,2019,1
2975,everbright securities investment services (hk) limited,lion global financial limited,2008,1
2976,rab capital (asia) limited,d. b. zwirn asia partners limited,2007,1
2977,ubs securities asia limited,barclays capital asia limited,2012,1
2978,merrill lynch (asia pacific) limited,nomura international (hong kong) limited,2004,1
2979,icea capital limited,huajin securities (international) limited,2018,1
2980,stanhill (hong kong) limited,cinda international capital limited,2011,1
2981,huajin corporate finance (international) limited,icea capital asia limited,2007,1
2982,okasan international (asia) limited,redford asset management limited,2018,1
2983,lees securities co.,lee's securities company limited,2005,1
2984,bluemount securities limited,bin yuan capital limited,2015,1
2985,bin yuan capital limited,tokai tokyo securities (asia) limited,2008,1
2986,tokai tokyo securities (asia) limited,jump trading hong kong limited,2021,1
2987,sbi china capital financial services limited,chief securities limited,2005,1
2988,new trend futures limited,csc futures (hk) limited,2007,1
2989,shun loong futures limited,seazen resources futures limited,2017,1
2990,longrun financial group limited,bocom international securities limited,2016,1
2991,icbc international securities limited,bocom international securities limited,2017,1
2992,mainland asset management limited,kingdom investment managers limited,2008,1
2993,kingdom investment managers limited,china hong kong link asset management limited,2017,1
2994,china hong kong link asset management limited,golden great china fund management limited,2012,1
2995,golden great china fund management limited,kingdom investment managers limited,2009,1
2996,excalibur global financial group limited,lionheart limited,2018,1
2997,megabase futures co. limited,china-hong kong link securities company limited,2016,1
2998,target capital management limited (hk),oneplatform asset management limited,2010,1
2999,oneplatform asset management limited,athena wealth management limited,2014,1
3000,manulife investment management (hong kong) limited,morgan stanley asia limited,2020,1
3001,glg partners hong kong limited,clsa limited,2017,1
3002,ces commodities (hk) limited,jimei securities limited,2010,1
3003,jimei securities limited,greater china securities limited (b1999-04-26),2017,1
3004,greater china securities limited (b1999-04-26),quasar asset management limited,2018,1
3005,quasar asset management limited,phillip commodities (h.k.) limited,2011,1
3006,uob kay hian futures (hong kong) limited,ces forex (hk) limited,2008,1
3007,luk fook futures (hk) limited,everbright securities investment services (hk) limited,2011,1
3008,celestial capital limited,capital 9 limited,2020,1
3009,capital 9 limited,convoy capital hong kong limited,2014,1
3010,everhot securities limited,solid king securities limited,2017,1
3011,ocbc wing hang shares brokerage co. limited,daiwa capital markets hong kong limited,2007,1
3012,daiwa capital markets hong kong limited,citic securities brokerage (hk) limited,2005,1
3013,centaline wealth management limited,ces commodities (hk) limited,2008,1
3014,optima capital limited,cni global capital limited,2004,1
3015,mason securities limited,glory sun securities limited,2017,1
3016,glory sun securities limited,bright smart securities international (h.k.) limited,2016,1
3017,jimei securities limited,citic securities brokerage (hk) limited,2010,1
3018,bright smart futures & commodities company limited,chief commodities limited,2008,1
3019,mf global hong kong limited,bear stearns asia limited,2006,1
3020,bear stearns asia limited,haitong international research limited,2016,1
3021,bnp paribas securities (asia) limited,cgs-cimb securities (hong kong) limited,nan,1
3022,daiwa institute of research (hong kong) limited,cgs-cimb securities (hong kong) limited,2003,1
3023,cgs-cimb securities (hong kong) limited,citic securities brokerage (hk) limited,2012,1
3024,citic securities brokerage (hk) limited,mib securities (hong kong) limited,2015,1
3025,credit suisse (hong kong) limited,athos capital limited,2022,1
3026,athos capital limited,lim advisors limited,2013,1
3027,yuanta asia investment (hong kong) limited,kgi futures (hong kong) limited,2007,1
3028,splendor global investments limited,thornton global wealth management limited,2004,1
3029,hsbc global asset management (hong kong) limited,bct financial limited,2012,1
3030,bct financial limited,axa china region investment services limited,2008,1
3031,manulife investment management (hong kong) limited,oneplatform asset management limited,2013,1
3032,uob kay hian futures (hong kong) limited,"china merchants securities (hk) co., limited",2011,1
3033,"china merchants securities (hk) co., limited",tung shing securities (brokers) limited,2003,1
3034,morgan stanley hong kong securities limited,"china merchants securities (hk) co., limited",2013,1
3035,kgi asia limited,"china merchants securities (hk) co., limited",2010,1
3036,future growth financial services limited,upbest securities company limited,2013,1
3037,upbest securities company limited,future growth financial services limited,2012,1
3038,future growth financial services limited,upbest investment company limited,2014,1
3039,china securities (international) brokerage company limited,amtd global markets limited,2015,1
3040,amtd global markets limited,china tonghai securities limited,2008,1
3041,state street global advisors asia limited,legal & general investment management asia limited,2013,1
3042,blackwell global securities limited,shanxi securities international limited,2021,1
3043,shanxi securities international limited,arta global futures limited,2019,1
3044,arta global futures limited,essence international securities (hong kong) limited,2022,1
3045,fulbright futures limited,wing fung securities limited,2010,1
3046,clsa research limited,ccb international securities limited,2014,1
3047,fortis investment management hong kong limited,eastspring investments (hong kong) limited,2017,1
3048,eastspring investments (hong kong) limited,ubp asset management asia limited,2011,1
3049,ubp asset management asia limited,eastspring investments (hong kong) limited,2016,1
3050,eastspring investments (hong kong) limited,manulife investment management (hong kong) limited,2019,1
3051,manulife investment management (hong kong) limited,bnp paribas asset management asia limited,2008,1
3052,bnp paribas asset management asia limited,henderson global investors (hong kong) limited,2013,1
3053,tung shing securities (brokers) limited,"china galaxy international securities (hong kong) co., limited",2016,1
3054,"china galaxy international securities (hong kong) co., limited",stockwell securities limited,2013,1
3055,stockwell securities limited,yuanta asia investment (hong kong) limited,2007,1
3056,yuanta asia investment (hong kong) limited,cvp securities limited,2010,1
3057,luk fook securities (hk) limited,shun loong futures limited,2005,1
3058,ces commodities (hk) limited,yuanta securities (hong kong) company limited,2012,1
3059,silverbricks securities company limited,shun loong futures limited,nan,1
3060,yuanta asia investment (hong kong) limited,evergrande futures (hong kong) limited,2004,1
3061,hsbc broking futures (asia) limited,phillip securities (hong kong) limited,2020,1
3062,fulbright securities limited,china finance kab limited,2009,1
3063,china everbright securities (hk) limited,ces commodities (hk) limited,2018,1
3064,deutsche securities asia limited,haitong international capital limited,2016,1
3065,shacom futures limited,bocom international securities limited,2019,1
3066,bocom international securities limited,"china merchants futures (hk) co., limited",2020,1
3067,phillip commodities (h.k.) limited,"china galaxy international securities (hong kong) co., limited",2018,1
3068,"china galaxy international securities (hong kong) co., limited",celestial securities limited,2007,1
3069,nerico brothers limited (hk),kgi asia limited,2012,1
3070,anuenue securities limited,d&r international capital management (hong kong) limited,2017,1
3071,d&r international capital management (hong kong) limited,phillip securities (hong kong) limited,2007,1
3072,phoenix capital securities limited,fruit tree securities limited,2018,1
3073,fruit tree securities limited,kgi asia limited,2016,1
3074,kgi asia limited,phoenix capital securities limited,2006,1
3075,rock hill asset management limited,ibts asia (hk) limited,2009,1
3076,ibts asia (hk) limited,guotai junan securities (hong kong) limited,2014,1
3077,yuanta asia investment (hong kong) limited,sinopac asset management (asia) limited,2015,1
3078,sinopac asset management (asia) limited,yuanta securities (hong kong) company limited,2012,1
3079,safe gold securities and futures limited,nerico brothers limited (hk),2006,1
3080,huarong international securities limited,prudential brokerage limited,2019,1
3081,cis securities asset management limited,yuanta securities (hong kong) company limited,2012,1
3082,yuanta securities (hong kong) company limited,zhongda (hongkong) futures limited,2018,1
3083,zhongda (hongkong) futures limited,sinostar securities limited,2017,1
3084,sparx asia investment advisors limited,mackenzie investments asia limited,2017,1
3085,"china galaxy international securities (hong kong) co., limited",yuanta securities (hong kong) company limited,2012,1
3086,boyer allan investment management (hong kong) limited,credit suisse (hong kong) limited,2005,1
3087,credit suisse (hong kong) limited,boyer allan investment management (hong kong) limited,2007,1
3088,fil investment management (hong kong) limited,"charles schwab, hong kong, limited",2021,1
3089,longreach group limited (the),hpef capital partners limited,2004,1
3090,shenwan hongyuan securities (h.k.) limited,csc securities (hk) limited,2008,1
3091,csc securities (hk) limited,first shanghai futures limited,2003,1
3092,citigroup global markets hong kong futures and securities limited,ubs securities hong kong limited,2012,1
3093,j.p. morgan broking (hong kong) limited,deutsche securities asia limited,2006,1
3094,deutsche securities asia limited,haitong international securities company limited,2017,1
3095,enlighten securities limited,fulbright futures limited,2011,1
3096,jmc capital hk limited,win harvest asset management limited,2016,1
3097,win harvest asset management limited,jmc capital hk limited,2020,1
3098,asia cornerstone asset management company limited,vms securities limited,2007,1
3099,des asset management limited,oneplatform asset management limited,2015,1
3100,oneplatform asset management limited,rhee capital limited,2020,1
3101,rhee capital limited,finex hong kong limited,2019,1
3102,"china galaxy international futures (hong kong) co., limited",soochow securities international brokerage limited,2014,1
3103,soochow securities international brokerage limited,funderstone securities limited,nan,1
3104,vp wealth management (hong kong) limited,oneplatform asset management limited,2011,1
3105,sino wealth securities limited,gf securities (hong kong) brokerage limited,2013,1
3106,"china merchants futures (hk) co., limited",piper jaffray asia securities limited,2006,1
3107,mayfair & ayers financial group limited,huarong international securities limited,2013,1
3108,huarong international securities limited,rifa asset management limited,2017,1
3109,qi yuan asset management (h.k.) limited,mayfair & ayers financial group limited,2008,1
3110,solid king securities limited,everhot securities limited,2005,1
3111,anbang capital (hong kong) co. limited,standard chartered securities (hong kong) limited,2005,1
3112,standard chartered securities (hong kong) limited,rbs asia corporate finance limited,2003,1
3113,rbs asia corporate finance limited,mizuho securities asia limited,2006,1
3114,mizuho securities asia limited,anbang capital (hong kong) co. limited,2016,1
3115,chow sang sang securities limited,fil investment management (hong kong) limited,2005,1
3116,cni securities group limited,"greenland (asia) securities co., limited",2018,1
3117,huajin futures (international) limited,south china asset management limited,2011,1
3118,"greenland (asia) securities co., limited",south china securities limited,2005,1
3119,citigroup global markets asia limited,ubs securities hong kong limited,2016,1
3120,network financial services limited,asset management group limited,2011,1
3121,vc capital limited,beijing securities limited,2009,1
3122,beijing securities limited,south china capital limited,nan,1
3123,south china capital limited,ccb international capital limited,2008,1
3124,cmb international global markets limited,mighty brokerage (asia) limited,2011,1
3125,springhill fund asset management (hk) company limited,snow lake capital (hk) limited,2013,1
3126,celestial commodities limited,convergex asia pacific limited,2011,1
3127,convergex asia pacific limited,celestial securities limited,2008,1
3128,celestial securities limited,interactive brokers llc,2012,1
3129,guotai junan securities (hong kong) limited,boci securities limited,2012,1
3130,boa international securities limited,boci securities limited,2006,1
3131,hsbc investment funds (hong kong) limited,solaris capital advisors (hk) limited,2021,1
3132,hsbc global asset management (hong kong) limited,tc investment management (asia) limited,nan,1
3133,emperor securities limited,evergrande securities (hong kong) limited,2006,1
3134,evergrande securities (hong kong) limited,haitong international futures limited,2008,1
3135,haitong international futures limited,everbright securities investment services (hk) limited,2013,1
3136,amtd global markets limited,lion global financial limited,2009,1
3137,sun international investment services limited,kingkey securities group limited,2018,1
3138,get nice securities limited,great bay securities limited,nan,1
3139,corporate commodities limited,phillip securities (hong kong) limited,2004,1
3140,christfund securities limited,baili securities company limited,2012,1
3141,csc securities (hk) limited,abci securities company limited,2007,1
3142,boci securities limited,east asia securities company limited,2019,1
3143,east asia securities company limited,haitong international futures limited,2016,1
3144,guotai junan securities (hong kong) limited,sun growth futures limited,2018,1
3145,shenwan hongyuan capital (h.k.) limited,sunfund capital limited,2019,1
3146,bear stearns asia limited,barclays capital asia limited,2005,1
3147,barclays capital asia limited,blackrock asset management north asia limited,2013,1
3148,space securities limited,celestial commodities limited,2017,1
3149,credit agricole securities (asia) limited,lehman brothers asia limited,2007,1
3150,blackwell global securities limited,cinda international investment management limited,nan,1
3151,citic securities futures (hk) limited,i win securities limited,2020,1
3152,corporate brokers limited,kgi asia limited,2017,1
3153,kgi asia limited,tung shing securities (brokers) limited,nan,1
3154,tung shing securities (brokers) limited,"caitong international securities co., limited",2016,1
3155,axa investment managers asia limited,morgan stanley asia limited,2004,1
3156,morgan stanley asia limited,merrill lynch far east limited,2011,1
3157,hsbc broking securities (asia) limited,kgi asia limited,2021,1
3158,huajin securities (international) limited,joincap capital limited,2019,1
3159,joincap capital limited,shenwan hongyuan capital (h.k.) limited,2021,1
3160,boci-prudential asset management limited,morgan stanley asia limited,2010,1
3161,morgan stanley asia limited,boci-prudential asset management limited,2017,1
3162,boci securities limited,keystone capital limited (hk),2021,1
3163,keystone capital limited (hk),sinostar asset management limited,2015,1
3164,axa china region investment services limited,hsbc life (international) limited,nan,1
3165,hsbc life (international) limited,infinity strategic advisors limited,2007,1
3166,adamas asset management (hk) limited,merrill lynch (asia pacific) limited,2010,1
3167,pacific foundation securities limited,bocom international securities limited,2011,1
3168,aden financial group limited,phillip securities (hong kong) limited,2010,1
3169,phillip securities (hong kong) limited,aden financial group limited,2020,1
3170,honor securities (hk) limited,marex hong kong limited,2016,1
3171,hong kong international securities limited,rencent international asset management company limited,2020,1
3172,corporate brokers limited,kgi asia limited,2007,1
3173,kgi asia limited,fulbright futures limited,2008,1
3174,tung shing futures (brokers) limited,partners capital securities limited,2016,1
3175,kbc financial products hong kong limited,boci securities limited,2013,1
3176,china everbright forex & futures (hk) limited,hsbc broking forex (asia) limited,2020,1
3177,cinda international investment consultant limited,centaline wealth management limited,2006,1
3178,masterlink securities (hong kong) corporation limited,enlighten securities limited,2004,1
3179,enlighten securities limited,"hantec securities co., limited",2005,1
3180,arta global markets limited,huatai financial holdings (hong kong) limited,2017,1
3181,huatai financial holdings (hong kong) limited,futec financial limited,2020,1
3182,yf securities company limited,fulbright securities limited,2004,1
3183,quest stockbrokers (hk) limited,merdeka securities limited,2010,1
3184,ces commodities (hk) limited,fuji hong kong commodities company limited,2003,1
3185,sunshine international securities limited,phillip securities (hong kong) limited,nan,1
3186,phillip commodities (h.k.) limited,mg wealth management limited,2016,1
3187,oneplatform asset management limited,uic financial advisors limited,2011,1
3188,red sun capital limited,"china merchants securities (hk) co., limited",2021,1
3189,louis capital markets (hong kong) limited,south china securities limited,2005,1
3190,south china securities limited,mirabaud (asia) limited,2006,1
3191,boci securities limited,guotai junan futures (hong kong) limited,2018,1
3192,guotai junan futures (hong kong) limited,"china merchants futures (hk) co., limited",2016,1
3193,t g holborn (hk) limited,oneplatform asset management limited,2007,1
3194,forsyth barr asia limited,religare capital markets (hong kong) limited,2010,1
3195,deutsche securities asia limited,clsa limited,2022,1
3196,jefferies hong kong limited,nomura international (hong kong) limited,2008,1
3197,ipp financial advisers limited,lis investment services limited,2008,1
3198,giny securities company,sun capital securities limited,2005,1
3199,nomura international (hong kong) limited,clsa research limited,2007,1
3200,bright smart futures & commodities company limited,chong hing commodities and futures limited,2008,1
3201,fil investment management (hong kong) limited,boci-prudential asset management limited,2008,1
3202,quantsmile (hk) limited,t g securities limited,2016,1
3203,merrill lynch futures (hong kong) limited,emperor international exchange (hong kong) company limited,2004,1
3204,t.f.s. derivatives hk limited,sunrise brokers (hong kong) limited,2010,1
3205,sunfund capital limited,honestum international limited,2021,1
3206,yunfeng securities limited,success securities limited,2016,1
3207,success securities limited,futu securities international (hong kong) limited,2017,1
3208,altus capital limited,grande capital limited,2019,1
3209,corporate commodities limited,emperor international exchange (hong kong) company limited,2006,1
3210,hongkong bay asset management limited,merrill lynch (asia pacific) limited,2006,1
3211,sinolink securities (hong kong) company limited,prime capital management company limited,2012,1
3212,"capital international, inc.",fil investment management (hong kong) limited,2005,1
3213,hsbc global asset management (hong kong) limited,fil investment management (hong kong) limited,2006,1
3214,success securities limited,emperor international exchange (hong kong) company limited,nan,1
3215,haitong international securities company limited,hsbc broking futures (asia) limited,2015,1
3216,core pacific - yamaichi international (h.k.) limited,haitong international futures limited,nan,1
3217,evolution asia investments limited,frontpage capital limited,2015,1
3218,frontpage capital limited,evolution asia investments limited,2006,1
3219,kgi futures (hong kong) limited,"china galaxy international futures (hong kong) co., limited",2013,1
3220,"china galaxy international futures (hong kong) co., limited",core pacific - yamaichi international (h.k.) limited,2014,1
3221,citigroup global markets asia limited,invesco hong kong limited,2004,1
3222,formax securities limited,fulbright futures limited,2014,1
3223,fulbright securities limited,formax securities limited,2016,1
3224,formax securities limited,glory sun securities limited,2020,1
3225,chief securities limited,east asia securities company limited,2004,1
3226,east asia securities company limited,cinda international investment consultant limited,2003,1
3227,deepwater capital limited,gennex capital advisers limited,2019,1
3228,everbright securities investment services (hk) limited,cinda international research limited,2010,1
3229,cinda international research limited,kgi wealth management limited (d2017-10-03),2007,1
3230,kgi wealth management limited (d2017-10-03),cinda international asset management limited,2011,1
3231,cinda international asset management limited,csc securities (hk) limited,2008,1
3232,csc securities (hk) limited,rock hill asset management limited,2017,1
3233,rock hill asset management limited,cinda international asset management limited,2013,1
3234,cinda international asset management limited,sinopac asset management (asia) limited,2015,1
3235,everbright securities investment services (hk) limited,chief securities limited,2013,1
3236,value partners limited,harvest global investments limited,2018,1
3237,i win securities limited,china tonghai securities limited,2018,1
3238,galaxy treasure securities group limited,chief securities limited,2012,1
3239,chief securities limited,china tonghai securities limited,2021,1
3240,china tonghai securities limited,haitong international securities company limited,2016,1
3241,"china galaxy international securities (hong kong) co., limited",fulbright securities limited,2012,1
3242,boci securities limited,china securities (international) brokerage company limited,2014,1
3243,sumitomo mitsui asset management (hong kong) limited,macquarie capital limited,2013,1
3244,macquarie capital limited,sumitomo mitsui ds asset management (hong kong) limited,2019,1
3245,seazen resources asset management limited,smart grandly asset management limited,2015,1
3246,smart grandly asset management limited,stand rich asset management limited,2011,1
3247,stand rich asset management limited,rich capital international investment limited,2018,1
3248,gary cheng securities limited,fubon securities (hong kong) limited,2012,1
3249,fubon securities (hong kong) limited,kingkey asset management limited,2017,1
3250,kingkey asset management limited,kgi asia limited,2006,1
3251,kgi asia limited,grandly financial services limited,2016,1
3252,grandly financial services limited,mizuho securities asia limited,2013,1
3253,amundi hong kong limited,invesco hong kong limited,2019,1
3254,suncorp securities limited,astrum capital management limited (hk),2018,1
3255,orient securities (hong kong) limited,cif asset management limited,2020,1
3256,cif securities futures limited,"zhongrong international futures co., limited",2014,1
3257,"zhongrong international futures co., limited",chaos international financial limited,2017,1
3258,sg securities (hk) limited,blackrock (hong kong) limited (d2017-01-20),2010,1
3259,"zhongrong international futures co., limited",central wealth futures limited,2017,1
3260,central wealth futures limited,admis hong kong limited,2015,1
3261,penjing asset management (asia) limited,sigma capital management limited,2016,1
3262,sigma capital management limited,penjing asset management (hk) limited,2008,1
3263,ces private (hk) limited,icbc international research limited,2009,1
3264,icbc international research limited,icea securities asia limited,2006,1
3265,oneplatform asset management limited,athena wealth management limited,2015,1
3266,athena wealth management limited,oneplatform asset management limited,2007,1
3267,i-access investors limited,huatai (hong kong) futures limited,2017,1
3268,huatai (hong kong) futures limited,cinda international futures limited,2016,1
3269,cinda international futures limited,east asia securities company limited,2013,1
3270,clc international limited,honestum international limited,2019,1
3271,fwd financial planning limited (hk),topaz financial group limited,2020,1
3272,mirae asset global investments (hong kong) limited,haitong international research limited,2018,1
3273,celestial commodities limited,uob kay hian (hong kong) limited,2020,1
3274,franklin templeton investments (asia) limited,jpmorgan asset management (asia pacific) limited,2015,1
3275,kirin securities limited,iam legacy limited,2021,1
3276,china everbright forex & futures (hk) limited,haitong international securities company limited,2004,1
3277,wonderland international securities limited,upmax securities limited,2017,1
